Change,PriceUnderCloud,PriceInCloud,PriceOverCloud,PriceCloudIntersectBear,PriceCloudIntersectBull,PriceBaseLinePosition,PriceConvLinePosition,PriceBaseLineDistance,PriceConvLineDistance,ConvLineBaseLinePosition,ConvBaseIntersectBull,ConvBaseIntersectBear,ForwardCloudWidth,ForwardCloudIntersectBear,ForwardCloudIntersectBull
-1.85,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-137.39999999999964,-37.04999999999973,0.0,0.0,0.0,-181.5,0.0,0.0
-0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-144.0,-51.5,0.0,0.0,0.0,-175.1057692307695,0.0,0.0
7.77,1.0,0.0,0.0,0.0,0.0,1.0,1.0,117.04999999999973,109.89999999999964,1.0,1.0,0.0,-122.20961538461461,0.0,0.0
-0.01,1.0,0.0,0.0,0.0,0.0,1.0,1.0,116.75,109.59999999999991,1.0,0.0,0.0,-121.71538461538421,0.0,0.0
0.48,1.0,0.0,0.0,0.0,0.0,1.0,1.0,134.3499999999999,127.19999999999982,1.0,0.0,0.0,-114.08076923076896,0.0,0.0
-1.28,1.0,0.0,0.0,0.0,0.0,1.0,1.0,87.15000000000009,80.0,1.0,0.0,0.0,-109.8673076923069,0.0,0.0
0.01,1.0,0.0,0.0,0.0,0.0,1.0,1.0,87.34999999999991,80.19999999999982,1.0,0.0,0.0,-103.47499999999945,0.0,0.0
-0.56,1.0,0.0,0.0,0.0,0.0,1.0,1.0,66.84999999999991,59.69999999999982,1.0,0.0,0.0,-97.07307692307722,0.0,0.0
-0.52,1.0,0.0,0.0,0.0,0.0,1.0,1.0,47.94999999999982,40.79999999999973,1.0,0.0,0.0,-88.7365384615382,0.0,0.0
0.34,1.0,0.0,0.0,0.0,0.0,1.0,1.0,60.04999999999973,52.899999999999636,1.0,0.0,0.0,-85.70192307692287,0.0,0.0
0.34,1.0,0.0,0.0,0.0,0.0,1.0,1.0,72.15000000000009,65.0,1.0,0.0,0.0,-82.29999999999927,0.0,0.0
1.31,1.0,0.0,0.0,0.0,0.0,1.0,1.0,119.54999999999973,29.149999999999636,1.0,0.0,0.0,-42.16153846153884,0.0,0.0
6.33,0.0,0.0,1.0,0.0,1.0,1.0,1.0,260.0500000000002,154.05000000000018,1.0,0.0,0.0,56.27692307692223,0.0,1.0
0.47,0.0,0.0,1.0,0.0,0.0,1.0,1.0,233.30000000000018,127.30000000000018,1.0,0.0,0.0,97.33653846153811,0.0,0.0
1.48,0.0,0.0,1.0,0.0,0.0,1.0,1.0,291.4000000000001,185.4000000000001,1.0,0.0,0.0,94.30961538461452,0.0,0.0
-0.9,0.0,0.0,1.0,0.0,0.0,1.0,1.0,246.75,140.75,1.0,0.0,0.0,98.79038461538403,0.0,0.0
0.73,0.0,0.0,1.0,0.0,0.0,1.0,1.0,275.3499999999999,169.3499999999999,1.0,0.0,0.0,95.79423076922967,0.0,0.0
3.91,0.0,0.0,1.0,0.0,0.0,1.0,1.0,359.99999999999955,253.39999999999964,1.0,0.0,0.0,161.90192307692223,0.0,0.0
-8.86,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-33.15000000000009,-141.75,1.0,0.0,0.0,191.33076923076806,0.0,0.0
2.09,0.0,0.0,1.0,0.0,0.0,1.0,0.0,45.34999999999991,-67.35000000000036,1.0,0.0,0.0,192.78461538461488,0.0,0.0
-0.61,0.0,0.0,1.0,0.0,0.0,1.0,0.0,21.950000000000273,-114.34999999999991,1.0,0.0,0.0,204.10576923076906,0.0,0.0
0.11,0.0,0.0,1.0,0.0,0.0,1.0,0.0,26.25,-133.45000000000027,1.0,0.0,0.0,219.44999999999982,0.0,0.0
0.05,0.0,0.0,1.0,0.0,0.0,1.0,0.0,28.25,-131.45000000000027,1.0,0.0,0.0,222.70576923076896,0.0,0.0
0.14,0.0,0.0,1.0,0.0,0.0,1.0,0.0,33.55000000000018,-126.15000000000009,1.0,0.0,0.0,225.57307692307677,0.0,0.0
0.03,0.0,0.0,1.0,0.0,0.0,1.0,0.0,34.75,-124.95000000000027,1.0,0.0,0.0,228.55192307692278,0.0,0.0
-0.36,0.0,0.0,1.0,0.0,0.0,1.0,0.0,21.15000000000009,-138.55000000000018,1.0,0.0,0.0,224.59423076923076,0.0,0.0
-2.45,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-72.44999999999982,-222.0999999999999,1.0,0.0,0.0,217.65769230769274,0.0,0.0
3.8,0.0,0.0,1.0,0.0,1.0,1.0,1.0,68.84999999999991,74.44999999999982,0.0,0.0,1.0,135.0326923076932,0.0,0.0
0.15,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-24.199999999999818,78.44999999999982,0.0,0.0,0.0,178.18846153846243,0.0,0.0
0.32,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-12.099999999999909,80.5,0.0,0.0,0.0,178.65576923077015,0.0,0.0
-0.24,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-21.299999999999727,60.5,0.0,0.0,0.0,178.39038461538576,0.0,0.0
2.03,0.0,0.0,1.0,0.0,0.0,1.0,1.0,57.100000000000364,121.40000000000009,0.0,0.0,0.0,180.28846153846234,0.0,0.0
-0.74,0.0,0.0,1.0,0.0,0.0,1.0,1.0,28.0,92.29999999999973,0.0,0.0,0.0,174.73461538461606,0.0,0.0
-1.15,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-16.899999999999636,47.40000000000009,0.0,0.0,0.0,169.64423076923185,0.0,0.0
0.41,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.800000000000182,63.09999999999991,0.0,0.0,0.0,165.94038461538594,0.0,0.0
-0.54,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-31.84999999999991,30.25,0.0,0.0,0.0,170.28269230769274,0.0,0.0
0.36,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-22.050000000000182,-8.349999999999909,0.0,0.0,0.0,192.00000000000045,0.0,0.0
1.17,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.34999999999990905,36.95000000000027,0.0,0.0,0.0,197.18076923076978,0.0,0.0
2.09,0.0,0.0,1.0,0.0,0.0,1.0,1.0,68.40000000000009,75.75,0.0,0.0,0.0,216.95000000000027,0.0,0.0
-0.62,0.0,0.0,1.0,0.0,0.0,1.0,1.0,43.5,47.65000000000009,0.0,0.0,0.0,210.71923076923122,0.0,0.0
0.22,0.0,0.0,1.0,0.0,0.0,1.0,1.0,52.19999999999982,56.34999999999991,0.0,0.0,0.0,202.67692307692414,0.0,0.0
0.67,0.0,0.0,1.0,0.0,0.0,1.0,1.0,79.0,83.15000000000009,0.0,0.0,0.0,194.09807692307777,0.0,0.0
0.6,0.0,0.0,1.0,0.0,0.0,1.0,1.0,103.19999999999982,107.34999999999991,0.0,0.0,0.0,184.75961538461615,0.0,0.0
-1.46,0.0,0.0,1.0,0.0,0.0,1.0,1.0,44.19999999999982,36.0,1.0,1.0,0.0,180.56153846153848,0.0,0.0
0.21,0.0,0.0,1.0,0.0,0.0,1.0,1.0,117.5,44.20000000000027,1.0,0.0,0.0,136.94230769230762,0.0,0.0
0.3,0.0,0.0,1.0,0.0,0.0,1.0,1.0,129.5999999999999,33.09999999999991,1.0,0.0,0.0,138.10961538461515,0.0,0.0
-0.2,0.0,0.0,1.0,0.0,0.0,1.0,1.0,121.79999999999973,0.849999999999909,1.0,0.0,0.0,139.61346153846216,0.0,0.0
-1.44,0.0,0.0,1.0,0.0,0.0,1.0,0.0,64.09999999999991,-43.94999999999982,1.0,0.0,0.0,124.14230769230835,0.0,0.0
0.15,0.0,0.0,1.0,0.0,0.0,1.0,0.0,69.90000000000009,-38.149999999999636,1.0,0.0,0.0,115.67500000000064,0.0,0.0
2.51,0.0,0.0,1.0,0.0,0.0,1.0,1.0,168.79999999999973,60.75,1.0,0.0,0.0,104.47115384615427,0.0,0.0
-0.4,0.0,0.0,1.0,0.0,0.0,1.0,1.0,152.69999999999982,44.65000000000009,1.0,0.0,0.0,93.64807692307659,0.0,0.0
1.9,0.0,0.0,1.0,0.0,0.0,1.0,1.0,199.75,91.69999999999982,1.0,0.0,0.0,111.00961538461524,0.0,0.0
0.23,0.0,0.0,1.0,0.0,0.0,1.0,1.0,189.9000000000001,93.80000000000018,1.0,0.0,0.0,110.87884615384519,0.0,0.0
-0.23,0.0,0.0,1.0,0.0,0.0,1.0,1.0,127.90000000000009,84.30000000000018,1.0,0.0,0.0,123.57884615384546,0.0,0.0
1.04,0.0,0.0,1.0,0.0,0.0,1.0,1.0,160.20000000000027,116.60000000000036,1.0,0.0,0.0,124.78269230769183,0.0,0.0
17.23,0.0,0.0,1.0,0.0,0.0,1.0,1.0,504.15000000000055,460.5500000000002,1.0,0.0,0.0,471.996153846153,0.0,0.0
2.25,0.0,0.0,1.0,0.0,0.0,1.0,1.0,420.9499999999998,379.5500000000002,1.0,0.0,0.0,638.6942307692302,0.0,0.0
-1.33,0.0,0.0,1.0,0.0,0.0,1.0,1.0,354.64999999999964,295.10000000000036,1.0,0.0,0.0,623.3346153846146,0.0,0.0
2.2,0.0,0.0,1.0,0.0,0.0,1.0,1.0,462.4499999999998,366.8000000000002,1.0,0.0,0.0,614.8807692307682,0.0,0.0
0.72,0.0,0.0,1.0,0.0,0.0,1.0,1.0,498.4499999999998,395.6999999999998,1.0,0.0,0.0,590.8403846153842,0.0,0.0
2.53,0.0,0.0,1.0,0.0,0.0,1.0,1.0,620.2000000000007,505.85000000000036,1.0,0.0,0.0,571.8865384615378,0.0,0.0
1.38,0.0,0.0,1.0,0.0,0.0,1.0,1.0,680.6999999999998,556.4999999999991,1.0,0.0,0.0,556.3634615384617,0.0,0.0
-1.65,0.0,0.0,1.0,0.0,0.0,1.0,1.0,570.6999999999989,469.6999999999989,1.0,0.0,0.0,538.3173076923076,0.0,0.0
2.89,0.0,0.0,1.0,0.0,0.0,1.0,1.0,656.8000000000002,534.0,1.0,0.0,0.0,580.9096153846149,0.0,0.0
-5.37,0.0,0.0,1.0,0.0,0.0,1.0,0.0,371.60000000000036,-74.04999999999927,1.0,0.0,0.0,720.6692307692301,0.0,0.0
0.63,0.0,0.0,1.0,0.0,0.0,1.0,0.0,403.1999999999998,-42.44999999999982,1.0,0.0,0.0,698.748076923076,0.0,0.0
-0.05,0.0,0.0,1.0,0.0,0.0,1.0,0.0,400.8000000000002,-94.40000000000055,1.0,0.0,0.0,702.7653846153844,0.0,0.0
1.64,0.0,0.0,1.0,0.0,0.0,1.0,0.0,483.8000000000002,-11.849999999999454,1.0,0.0,0.0,679.9480769230768,0.0,0.0
-2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,381.3000000000002,-114.34999999999945,1.0,0.0,0.0,659.4269230769223,0.0,0.0
2.95,0.0,0.0,1.0,0.0,0.0,1.0,1.0,529.8999999999996,34.25,1.0,0.0,0.0,639.0326923076918,0.0,0.0
0.53,0.0,0.0,1.0,0.0,0.0,1.0,1.0,557.3000000000002,61.650000000000546,1.0,0.0,0.0,611.0884615384612,0.0,0.0
1.08,0.0,0.0,1.0,0.0,0.0,1.0,1.0,613.6999999999998,118.05000000000018,1.0,0.0,0.0,583.5692307692307,0.0,0.0
-0.45,0.0,0.0,1.0,0.0,0.0,1.0,1.0,590.0,127.89999999999964,1.0,0.0,0.0,539.2807692307688,0.0,0.0
0.94,0.0,0.0,1.0,0.0,0.0,1.0,1.0,638.1999999999998,182.09999999999945,1.0,0.0,0.0,508.90384615384573,0.0,0.0
-0.88,0.0,0.0,1.0,0.0,0.0,1.0,1.0,573.3500000000004,97.89999999999964,1.0,0.0,0.0,509.288461538461,0.0,0.0
1.97,0.0,0.0,1.0,0.0,0.0,1.0,1.0,640.4499999999998,179.5,1.0,0.0,0.0,508.8153846153846,0.0,0.0
3.08,0.0,0.0,1.0,0.0,0.0,1.0,1.0,703.1000000000004,232.3000000000011,1.0,0.0,0.0,583.5192307692305,0.0,0.0
-1.74,0.0,0.0,1.0,0.0,0.0,1.0,1.0,589.8500000000004,111.20000000000073,1.0,0.0,0.0,573.8076923076915,0.0,0.0
-3.81,0.0,0.0,1.0,0.0,0.0,1.0,0.0,373.5,-156.79999999999927,1.0,0.0,0.0,580.7673076923074,0.0,0.0
1.71,0.0,0.0,1.0,0.0,0.0,1.0,0.0,462.6999999999998,-67.59999999999945,1.0,0.0,0.0,553.0538461538463,0.0,0.0
-0.61,0.0,0.0,1.0,0.0,0.0,1.0,0.0,396.9499999999998,-100.0,1.0,0.0,0.0,542.7499999999991,0.0,0.0
0.69,0.0,0.0,1.0,0.0,0.0,1.0,0.0,110.50000000000091,-63.599999999999454,1.0,0.0,0.0,676.7288461538456,0.0,0.0
-1.27,0.0,0.0,1.0,0.0,0.0,1.0,0.0,43.20000000000073,-130.89999999999964,1.0,0.0,0.0,650.3999999999996,0.0,0.0
1.64,0.0,0.0,1.0,0.0,0.0,1.0,0.0,79.44999999999982,-45.099999999999454,1.0,0.0,0.0,648.7038461538459,0.0,0.0
1.19,0.0,0.0,1.0,0.0,0.0,1.0,1.0,142.40000000000055,18.300000000000182,1.0,0.0,0.0,620.6788461538454,0.0,0.0
2.04,0.0,0.0,1.0,0.0,0.0,1.0,1.0,252.0000000000009,130.30000000000018,1.0,0.0,0.0,588.2576923076913,0.0,0.0
4.97,0.0,0.0,1.0,0.0,0.0,1.0,1.0,400.10000000000036,276.0000000000009,1.0,0.0,0.0,678.1884615384606,0.0,0.0
1.11,0.0,0.0,1.0,0.0,0.0,1.0,1.0,436.6999999999998,301.64999999999964,1.0,0.0,0.0,673.3596153846147,0.0,0.0
-0.96,0.0,0.0,1.0,0.0,0.0,1.0,1.0,380.6999999999998,230.85000000000036,1.0,0.0,0.0,644.2999999999993,0.0,0.0
-0.52,0.0,0.0,1.0,0.0,0.0,1.0,1.0,350.90000000000055,201.0500000000011,1.0,0.0,0.0,609.284615384614,0.0,0.0
1.82,0.0,0.0,1.0,0.0,0.0,1.0,1.0,395.0,245.14999999999964,1.0,0.0,0.0,634.1403846153835,0.0,0.0
2.41,0.0,0.0,1.0,0.0,0.0,1.0,1.0,498.3000000000002,382.4499999999998,1.0,0.0,0.0,616.0096153846134,0.0,0.0
3.36,0.0,0.0,1.0,0.0,0.0,1.0,1.0,606.3999999999996,428.75,1.0,0.0,0.0,697.6769230769223,0.0,0.0
