PriceUnderCloud,PriceInCloud,PriceOverCloud,PriceCloudIntersectBear,PriceCloudIntersectBull,PriceBaseLinePosition,PriceConvLinePosition,ConvLineBaseLinePosition,ConvBaseIntersectBull,ConvBaseIntersectBear,ForwardCloudIntersectBear,ForwardCloudIntersectBull,Close,ForwardCloudWidth,PriceBaseLineDistance,PriceConvLineDistance
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.37081798840421026,0.5130563694493021,0.42784667300479534,0.5078211271575662
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.37350386941050584,0.5077268567607759,0.4309558385657721,0.5337832236242142
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36688325826759893,0.5108277994035996,0.4028396209659727,0.505549568072159
1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.37305907382984543,0.516389544435611,0.40492493496453086,0.5318863888842827
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3805568342996491,0.5153941989418237,0.4250718263213432,0.5638606556017971
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3811975887724886,0.5151763970913146,0.42679356854059375,0.5665931587935863
0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3863578395998706,0.5121182977754634,0.4406594439859169,0.5968662433055325
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3674820215492572,0.5035990187264778,0.3899390912795011,0.5407040175092434
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3652113867668649,0.5026397046499352,0.38383777176468137,0.5303941237916794
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.361545711299674,0.5027927933580296,0.371378125097945,0.5147618179104968
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3592533033070396,0.5038901382369525,0.36521829977955855,0.49847954767786945
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.37313061437778383,0.5085737743268085,0.4025073915814328,0.5395599476049141
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3673233881603503,0.5074664804744672,0.38690305797298286,0.514794979356999
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3658085948192201,0.5066425979189616,0.38169604145554087,0.5083351295783518
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.37150539975614005,0.49854296836136824,0.39700366706018786,0.5524166404138544
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.36787704979222136,0.497436750073721,0.3872540927943835,0.5369435094758829
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3670232289048697,0.5047870695612502,0.38495982949737245,0.511415827958415
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3759673526264712,0.5045165650407416,0.40899317780540545,0.5495581237253563
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3702472192500062,0.5076884949533612,0.3936228674112226,0.5146822304388912
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37255828999427676,0.5130522464513088,0.39983284056123786,0.5081494254779391
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36845403986363745,0.5257026798590653,0.3801811590417586,0.4676195055628322
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36623783810685046,0.5251751153767211,0.37293688686440246,0.45816849330967774
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3665753228656033,0.524741125022744,0.37384372681968736,0.45960770008787744
